row,headline,subheadline,cta_text,primary_text,fb_headline,fb_description,landing_url,widget_file,content_angle,urgency_level,target_audience,template_id,image_url,platform,status
1,Is Your Spray Foam Causing Mortgage Problems?,Lenders are rejecting properties with spray foam — free assessment available,Learn More,"Spray foam insulation in your loft? Major UK lenders are now refusing mortgages on properties with spray foam. If you're trying to sell, remortgage, or buy — this could cost you thousands. We provide safe, professional removal with full RICS-compliant documentation. Serving England, Wales & Northern Ireland. Book your free assessment today — takes 60 seconds.",Free Spray Foam Assessment,"Safe removal. Full documentation. England, Wales & NI.",[landing_page_url],canvablog1.html,mortgage_block,high,homeowners_selling_remortgaging,[canva_template_id],[your_image_url],facebook_feed,draft
2,Free Insulation Destroying Your Home?,Millions of UK homes received insulation that was never suitable,Check If You Qualify,"Had cavity wall or loft insulation installed free under a government scheme? ECO, Green Deal, Warm Front — millions of homes were insulated without proper surveys. If your home now has damp, mould, cold spots or crumbling render, you may be entitled to FREE removal and compensation of £10,000–£50,000+. Check if you qualify — takes 60 seconds.",Insulation Damage Claim,"Free eligibility check. No obligation. Claims £10k–£50k+.",[landing_page_url],canvablog4.html,govt_scheme_victim,high,govt_scheme_recipients,[canva_template_id],[your_image_url],facebook_feed,draft
3,Still Living With Damp After Insulation?,It might be a bad insulation problem — not a damp problem,Get Free Check,"Still dealing with damp years after having insulation installed? If a surveyor failed to assess your property correctly before installation, the installer, surveyor and scheme funder could ALL be liable. Typical claims: £15,000–£40,000+. Don't wait — time limits apply. Free eligibility check for England, Wales & Northern Ireland.",Wrongly Installed Insulation?,"Free eligibility check. Claims typically £15k–£40k+.",[landing_page_url],canvablog3.html,damp_after_insulation,high,damp_sufferers,[canva_template_id],[your_image_url],facebook_feed,draft
4,Spray Foam Blocking Your Sale?,Your buyer's surveyor will flag it — act before it costs you the deal,Book Free Assessment,"Selling your home? Spray foam insulation in the loft is now one of the top reasons sales fall through. Surveyors flag it, lenders reject it, buyers walk away. We remove spray foam safely and provide full documentation that satisfies lenders and surveyors. Don't lose your sale — book a free assessment today.",Spray Foam Removal Specialists,"Safe. Professional. Documented. England, Wales & NI.",[landing_page_url],canvablog1.html,sale_falling_through,high,homeowners_selling,[canva_template_id],[your_image_url],facebook_feed,draft
5,Your Home Was Never Suitable for That Insulation,Not all properties should have cavity wall insulation,Free Eligibility Check,"Not all homes are suitable for cavity wall insulation. Exposed walls, older properties, and stone-built homes are often at risk of penetrating damp after installation. If yours was installed without a proper survey — even if it was free — you may have a strong legal claim. Many claims worth £15,000–£40,000+. Check your eligibility now.",Was Your Home Suitable?,"Free check. No obligation. Claims £15k–£40k+.",[landing_page_url],canvablog2.html,unsuitable_property,medium,older_property_owners,[canva_template_id],[your_image_url],facebook_feed,draft
6,Black Mould on Your Walls?,It could be caused by wrongly installed insulation — not poor ventilation,Free Damage Assessment,"Black mould appearing on walls or ceilings? Before you spend money on ventilation or anti-mould paint, check whether your insulation is the real cause. Thousands of UK homes had insulation installed that traps moisture inside the walls. If this happened to you, the installer could be liable for removal, repair AND compensation. Free assessment available.",Mould From Bad Insulation?,"Free assessment. Safe removal. Compensation possible.",[landing_page_url],canvablog3.html,mould_problem,medium,mould_sufferers,[canva_template_id],[your_image_url],facebook_feed,draft
7,Had ECO or Green Deal Insulation?,You could be owed £10k–£50k+ in compensation,Check Your Claim,"The ECO and Green Deal schemes funded millions of insulation installations across the UK. But many installers cut corners — no surveys, unsuitable properties, poor workmanship. If your home now has problems, the installer AND the scheme funder could both be liable. Time limits apply. Check if you have a claim — free, no obligation.",ECO & Green Deal Claims,"Free claim check. Typical awards £10k–£50k+.",[landing_page_url],canvablog4.html,eco_green_deal,high,eco_scheme_recipients,[canva_template_id],[your_image_url],facebook_feed,draft
8,How Much Is Bad Insulation Costing You?,Property devaluation + removal + repairs could total £30k+,Calculate Your Impact,"Bad insulation doesn't just cause damp — it destroys your property value. Typical costs: £3,000–£15,000 for removal, £2,000–£5,000 for repairs, plus 10–22% property devaluation. Use our free calculator to see the real financial impact on YOUR property. Then get a free professional assessment.",Property Value At Risk,"Free impact calculator. Free assessment. England, Wales & NI.",[landing_page_url],canvablog5.html,financial_impact,medium,financially_motivated,[canva_template_id],[your_image_url],facebook_feed,draft
9,TIME IS RUNNING OUT on Insulation Claims,Some installers are going insolvent — claim before it's too late,Check Now,"⚠️ Important: Many insulation installers and scheme funders are going insolvent. If you have a claim for wrongly installed insulation, you need to act NOW before the window closes. Claims are time-limited under UK law. If your home has damp, mould, or structural damage after insulation was installed, check your eligibility today. Free. No obligation.",Don't Miss Your Claim Window,"Time-limited. Free check. Act now.",[landing_page_url],canvablog4.html,urgency_scarcity,high,all_affected_homeowners,[canva_template_id],[your_image_url],facebook_feed,draft
10,Cavity Wall Insulation Removed for FREE?,If it was wrongly installed you may qualify for free removal + compensation,Find Out Now,"Did you know? If your cavity wall insulation was installed without a proper survey, you could qualify for FREE removal AND compensation of £10,000–£50,000+. This applies even if the insulation was free under ECO, Green Deal, or another government scheme. We've helped thousands of homeowners across England, Wales & Northern Ireland. Check if you qualify.",Free Removal + Compensation,"Free eligibility check. Claims £10k–£50k+.",[landing_page_url],canvablog2.html,free_removal_angle,high,cwi_victims,[canva_template_id],[your_image_url],facebook_feed,draft
